"name";"active";"quantity";"price";"visibility";"image url";"diamenty zegarki slub?";"";"wiktorianska";"pavoni";"studio y";"eternel";"eclpise";"fruit";"jubile";"flow";"categores";"";"";""
"Unique - srebrne kolczyki";"1";"449";"69";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/14Unique - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Unique - srebrne kolczyki";"1";"480";"69";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/15Unique - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki z szafirami i perłami";"1";"459";"495";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/16Kolekcja Wiktoriańska - kolczyki z szafirami i perłami.jpg";"";"12";"46";"";"";"";"";"";"";"";",12,46,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki z szafirem";"1";"450";"495";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/17Kolekcja Wiktoriańska - kolczyki z szafirem.jpg";"";"12";"46";"";"";"";"";"";"";"";",12,46,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki z diamentamii szafirami";"1";"406";"495";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/18Kolekcja Wiktoriańska - kolczyki z diamentamii szafirami.jpg";"18";"12";"46";"";"";"";"";"";"";"";"18,12,46,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki z szafirami";"1";"438";"589";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/19Kolekcja Wiktoriańska - kolczyki z szafirami.jpg";"";"12";"46";"";"";"";"";"";"";"";",12,46,,,,,,,";"";"";""
"Fruits - akrylowe kolczyki";"1";"482";"445";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/20Fruits - akrylowe kolczyki.jpg";"";"12";"";"";"";"";"";"100";"";"";",12,,,,,,100,,";"";"";""
"Fruits - akrylowe kolczyki";"1";"456";"445";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/21Fruits - akrylowe kolczyki.jpg";"";"12";"";"";"";"";"";"100";"";"";",12,,,,,,100,,";"";"";""
"Fruits - akrylowe kolczyki";"1";"418";"445";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/22Fruits - akrylowe kolczyki.jpg";"";"12";"";"";"";"";"";"100";"";"";",12,,,,,,100,,";"";"";""
"Fruits - akrylowe kolczyki";"1";"444";"445";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/23Fruits - akrylowe kolczyki.jpg";"";"12";"";"";"";"";"";"100";"";"";",12,,,,,,100,,";"";"";""
"Scarlett - srebrne kolczyki z cyrkoniami";"1";"449";"59";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/24Scarlett - srebrne kolczyki z cyrkoniami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Scarlett - srebrne kolczyki z cyrkoniami";"1";"421";"59";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/25Scarlett - srebrne kolczyki z cyrkoniami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Scarlett - srebrne kolczyki z cyrkoniami";"1";"454";"69";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/26Scarlett - srebrne kolczyki z cyrkoniami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Scarlett - srebrne kolczyki z cyrkoniami";"1";"451";"49";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/27Scarlett - srebrne kolczyki z cyrkoniami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Srebrne kolczyki z markazytami";"1";"499";"1995";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/28Srebrne kolczyki z markazytami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Srebrne kolczyki z markazytami";"1";"421";"2795";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/29Srebrne kolczyki z markazytami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Srebrne kolczyki z markazytami";"1";"494";"7795";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/30Srebrne kolczyki z markazytami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Srebrne kolczyki z markazytami";"1";"496";"2195";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/31Srebrne kolczyki z markazytami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Pavoni - srebrne kolczyki";"1";"478";"109";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/32Pavoni - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Pavoni - srebrne kolczyki";"1";"409";"129";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/33Pavoni - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Pavoni - srebrne kolczyki";"1";"447";"125";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/34Pavoni - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Pavoni - srebrne kolczyki";"1";"454";"109";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/35Pavoni - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Flow - złote kolczyki";"1";"410";"99";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/36Flow - złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"98";",12,,,,,,,,98";"";"";""
"Flow - srebrne kolczyki";"1";"481";"129";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/37Flow - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"98";",12,,,,,,,,98";"";"";""
"Flow - srebrne kolczyki";"1";"480";"219";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/38Flow - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"98";",12,,,,,,,,98";"";"";""
"Flow - srebrne kolczyki";"1";"465";"79";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/39Flow - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"98";",12,,,,,,,,98";"";"";""
"Kolekcja Wiktoriańska - złote kolczyki z diamentami i rubinami";"1";"496";"129";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/40Kolekcja Wiktoriańska - złote kolczyki z diamentami i rubinami.jpg";"18";"12";"46";"";"";"";"";"";"";"";"18,12,46,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki z rubinami";"1";"465";"199";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/41Kolekcja Wiktoriańska - kolczyki z rubinami.jpg";"";"12";"46";"";"";"";"";"";"";"";",12,46,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki z diamentami i rubinami";"1";"478";"149";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/42Kolekcja Wiktoriańska - kolczyki z diamentami i rubinami.jpg";"18";"12";"46";"";"";"";"";"";"";"";"18,12,46,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki z diamentami i rubinami";"1";"461";"119";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/43Kolekcja Wiktoriańska - kolczyki z diamentami i rubinami.jpg";"18";"12";"46";"";"";"";"";"";"";"";"18,12,46,,,,,,,";"";"";""
"Livia - złote kolczyki";"1";"403";"159";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/44Livia - złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Livia - złote kolczyki";"1";"471";"209";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/45Livia - złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Livia - złote kolczyki";"1";"492";"129";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/46Livia - złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Livia - złote kolczyki";"1";"447";"79";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/47Livia - złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki z diamentami i szmaragdami";"1";"486";"349";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/48Kolekcja Wiktoriańska - kolczyki z diamentami i szmaragdami.jpg";"18";"12";"46";"";"";"";"";"";"";"";"18,12,46,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki ze szmaragdami";"1";"490";"79";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/49Kolekcja Wiktoriańska - kolczyki ze szmaragdami.jpg";"";"12";"46";"";"";"";"";"";"";"";",12,46,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki ze szmaragdami";"1";"401";"49";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/50Kolekcja Wiktoriańska - kolczyki ze szmaragdami.jpg";"";"12";"46";"";"";"";"";"";"";"";",12,46,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - Kolczyki ze szmaragdami";"1";"444";"89";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/51Kolekcja Wiktoriańska - Kolczyki ze szmaragdami.jpg";"";"12";"46";"";"";"";"";"";"";"";",12,46,,,,,,,";"";"";""
"Scarlett - srebrne kolczyki z cyrkoniami";"1";"423";"3795";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/52Scarlett - srebrne kolczyki z cyrkoniami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Scarlett - srebrne kolczyki z cyrkoniami";"1";"414";"2195";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/53Scarlett - srebrne kolczyki z cyrkoniami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Scarlett - srebrne kolczyki z cyrkoniami";"1";"435";"5095";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/54Scarlett - srebrne kolczyki z cyrkoniami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Scarlett - srebrne kolczyki z cyrkoniami";"1";"452";"3295";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/55Scarlett - srebrne kolczyki z cyrkoniami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Talisman - Srebrne kolczyki";"1";"434";"199";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/56Talisman - Srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Talisman - Srebrne kolczyki";"1";"410";"349";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/57Talisman - Srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Talisman - srebrne kolczyki";"1";"444";"349";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/58Talisman - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Talisman - srebrne kolczyki";"1";"437";"199";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/59Talisman - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Srebrne kolczyki z markazytami";"1";"428";"3295";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/60Srebrne kolczyki z markazytami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Srebrne kolczyki z markazytami";"1";"490";"1295";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/61Srebrne kolczyki z markazytami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Srebrne kolczyki z markazytami";"1";"419";"2195";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/62Srebrne kolczyki z markazytami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Srebrne kolczyki z markazytami";"1";"491";"4595";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/63Srebrne kolczyki z markazytami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Tag Me - srebrne kolczyki";"1";"466";"109";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/64Tag Me - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Cosmic – złote kolczyki";"1";"455";"159";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/65Cosmic – złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Cosmic – złote kolczyki";"1";"465";"249";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/66Cosmic – złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Cosmic – złote kolczyki";"1";"490";"119";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/67Cosmic – złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Cosmic – złote kolczyki";"1";"416";"189";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/68Cosmic – złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Candy - srebrne kolczyki";"1";"451";"249";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/69Candy - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Candy - srebrne kolczyki";"1";"452";"169";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/70Candy - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Candy - srebrne kolczyki";"1";"450";"209";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/71Candy - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Candy - srebrne kolczyki";"1";"407";"469";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/72Candy - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Unique – srebrne kolczyki";"1";"425";"189";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/73Unique – srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Unique - Srebrne kolczyki";"1";"487";"169";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/74Unique - Srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Unique - srebrne kolczyki";"1";"434";"289";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/75Unique - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Unique - srebrne kolczyki";"1";"411";"139";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/76Unique - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Simple - srebrne kolczyki ";"1";"481";"515";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/77Simple - srebrne kolczyki .jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Simple - srebrne kolczyki ";"1";"424";"479";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/78Simple - srebrne kolczyki .jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Simple - srebrne kolczyki ";"1";"461";"479";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/79Simple - srebrne kolczyki .jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Simple – srebrne kolczyki";"1";"477";"479";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/80Simple – srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Kiddy - srebrne kolczyki";"1";"400";"139";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/81Kiddy - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Kiddy - srebrne kolczyki";"1";"455";"139";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/82Kiddy - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Kiddy - srebrne kolczyki";"1";"464";"139";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/83Kiddy - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Kiddy - srebrne kolczyki";"1";"472";"139";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/84Kiddy - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Scarlett - srebrne kolczyki ";"1";"439";"119";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/85Scarlett - srebrne kolczyki .jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Scarlett - srebrne kolczyki ";"1";"419";"159";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/86Scarlett - srebrne kolczyki .jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Scarlett – srebrne kolczyki z cyrkoniami";"1";"404";"119";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/87Scarlett – srebrne kolczyki z cyrkoniami.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"La Prima - złote kolczyki ";"1";"436";"119";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/88La Prima - złote kolczyki .jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"La Prima - złote kolczyki ";"1";"456";"49";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/89La Prima - złote kolczyki .jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"La Prima - złote kolczyki";"1";"418";"79";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/90La Prima - złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"La Prima - złote kolczyki";"1";"423";"79";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/91La Prima - złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Kolczyki ze szmaragdami ";"1";"476";"49";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/92Kolczyki ze szmaragdami .jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Kolczyki z diamentami i szmaragdami";"1";"436";"89";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/93Kolczyki z diamentami i szmaragdami.jpg";"18";"12";"";"";"";"";"";"";"";"";"18,12,,,,,,,,";"";"";""
"Kolekcja Wiktoriańska -złote kolczyki z diamentami i szmaragdami";"1";"428";"89";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/94Kolekcja Wiktoriańska -złote kolczyki z diamentami i szmaragdami.jpg";"18";"12";"46";"";"";"";"";"";"";"";"18,12,46,,,,,,,";"";"";""
"Kolekcja Wiktoriańska - kolczyki z diamentami i szmaragdami";"1";"473";"59";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/95Kolekcja Wiktoriańska - kolczyki z diamentami i szmaragdami.jpg";"18";"12";"46";"";"";"";"";"";"";"";"18,12,46,,,,,,,";"";"";""
"Jubilé - kolczyki z London Blue Topazami i diamentami";"1";"448";"59";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/96Jubilé - kolczyki z London Blue Topazami i diamentami.jpg";"18";"12";"";"";"";"";"";"";"112";"";"18,12,,,,,,,112,";"";"";""
"Jubilé - złote kolczyki z topazami błękitnymi i diamentami";"1";"470";"119";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/97Jubilé - złote kolczyki z topazami błękitnymi i diamentami.jpg";"18";"12";"";"";"";"";"";"";"112";"";"18,12,,,,,,,112,";"";"";""
"Jubilé - Kolczyki z diamentami i topazami";"1";"412";"139";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/98Jubilé - Kolczyki z diamentami i topazami.jpg";"18";"12";"";"";"";"";"";"";"112";"";"18,12,,,,,,,112,";"";"";""
"Jubilé - kolczyki z London Blue Topazami i diamentami";"1";"481";"129";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/99Jubilé - kolczyki z London Blue Topazami i diamentami.jpg";"18";"12";"";"";"";"";"";"";"112";"";"18,12,,,,,,,112,";"";"";""
"Unique - srebrne kolczyki";"1";"419";"799";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/100Unique - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Unique - srebrne kolczyki";"1";"449";"129";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/101Unique - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Unique - srebrne kolczyki";"1";"482";"189";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/102Unique - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Unique - srebrne kolczyki";"1";"467";"679";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/103Unique - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Malena - złote kolczyki";"1";"447";"549";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/104Malena - złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Malena - złote kolczyki";"1";"434";"749";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/105Malena - złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Malena - złote kolczyki";"1";"444";"4695";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/106Malena - złote kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Molly - srebrne kolczyki";"1";"440";"6995";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/107Molly - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Molly - srebrne kolczyki";"1";"489";"3195";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/108Molly - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Molly - srebrne kolczyki";"1";"480";"3195";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/109Molly - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Molly - srebrne kolczyki";"1";"420";"3795";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/110Molly - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Berries – srebrne kolczyki";"1";"412";"3195";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/111Berries – srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Berries – złote kolczyki z onyksem";"1";"482";"119";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/112Berries – złote kolczyki z onyksem.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Berries – złote kolczyki z onyksem";"1";"476";"89";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/113Berries – złote kolczyki z onyksem.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
